"property_id","price"
"d56159653f5d2abc5ed5acd7",842483066.125686
"45550aa81c0151f1fd9fd8fe",860974002.13278
"735deef3382aa15930482f3e",695084430.341917
"0dd49fa8bb7be52b851c6dc9",870972462.704894
"7d3220a91e78f8bc2924d1cd",1025939504.1886
"d3054072b2175deec2c1f8dc",631793883.404079
"b7574b06d593fca4eac59815",631762105.738088
"79e822115c5c1a4531366001",676328390.77157
"d3ed5316a463d38c1bd321d0",1056643207.17544
"2f1880c9b8f7ac2715e1236d",905419855.431446
"dcca1c7f109175760ff531c6",881520864.95247
"dfc4f3facf91bbd93ee0fa4d",652451942.599663
"30e134a6cbe61d7954d0f56b",489629465.495172
"385fee7bd9ad7722d45dd034",454791942.66878
"87199c236bf22903d1aafdd0",499750248.580186
"19e19ad0cd6b5e84d8aa970e",530450905.34088
"907f968e78d748fde69dd44f",876908509.557168
"be094e5db0f784e3aa013aae",655456034.963176
"7ab96f83915bc84f8c03c1bd",493166814.253075
"07f4aa9b9ff5b0b05d31e6c0",884403712.077907
"e9be8cd37abed8ab510ba1f5",902448442.936603
"5f6ad58df27b562db077b5ce",811671250.055502
"ee96d947484aaace40f9b77f",926588559.687374
"15c4aef8401208054697b81e",990263403.462592
"22d6cb11333f2839b8112b89",1059202175.73181
"288c09c33907dadbae495c11",1115963673.73109
"f71d2bca0c5fe2720a1544c4",488809449.306613
"451744cf3ce55a98db8a3562",494119328.498599
"fba9ae05a6a8a9e0c6268a9f",621960871.971727
"1338e58f7dcebf5a1ea59388",411768619.670016
"a817e8da0ada143ac87277ee",634813424.064139
"46d8bb3e9a0ca584d3c7a317",628258296.130936
"b2506aa9463aebf01e1e00ca",630825530.999677
"7ec025b9b6e6f33bf65af41b",619429153.102673
"2ff531e27672ecd2362eed55",687899429.269211
"9b3cf0d1b91b9c6a2a887647",684740389.3594
"7db5291ce4602d9b2b266872",684682226.69048
"65d5918e826c33bb950fc008",544493377.925067
"395c34e4b8f52cbdb0522459",711347207.873505
"855f4b67d2bd6d18fd03d8e7",834253814.700334
"9ff06409b37e5b5dece4604a",659434234.424982
"0508cd7bd2c77ebb6fea1e56",720211875.366776
"b45fff2e718e54772d46a3fd",657604790.805008
"cf4d2297b73dbc357d21e31b",738367428.449508
"0ada7044c5b29925abc90879",653134133.336358
"6305f02255274ab5fb6bd39c",546265743.518401
"d9a94194ae1350512beff3e6",790362516.488669
"e3896296cb80d50d9ad3f903",840252251.232203
"6514f355887c64136edb5595",768244186.409015
"f03400cc18e12903b3ffbe5a",899266410.611261
"4e134600155a64783b3f8c3e",704003362.268566
"d63ebc63c82fbf66d8b6ffd3",781026108.014122
"1bd64811bd59706844230198",862678869.51236
"a83921284639eedd4a511cb6",813760062.665391
"a2f3f7a1cd573e2a33f52e2d",784023919.867141
"47344a66471fa51f61c64652",837768448.552843
"78fd849c9429091347d7e5c9",754891945.865924
"c3daf2abea55af99c9579319",793812704.289589
"52864916eb1984abca41ec66",1025512504.33582
"c62494a9d7aede44f2f84023",831288498.142298
"a2b576643f7a032371587e5e",1094115061.73352
"e53bc68f0e97ccead24f3e56",537477812.079422
"fd82c710aad91bc90af490fe",557779300.117934
"d436abc2ee37ba3dd561e940",1006540430.20804
"216a598114a403676011cb51",736787550.377009
"ea230d5eccd2b687888173bb",749786872.636077
"18bd0dd7580f2a7cb19a90b9",411408880.853361
